ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
65982,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,44.0,0.0,0.0
65983,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,0.0,2.0,35.532000000000004
65985,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,128.0,2.0,35.25
65986,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,128.0,0.0,0.0
65987,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,0.0,0.0,0.0
65989,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,30.0,1.0,17.766000000000002
65990,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,0.0,3.0,53.298
65992,Sudeste,MG,Teófilo Otoni,2.0,90.0,3.0,96.0,4.0,33.84
65996,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,0.0,2.0,35.532000000000004
65997,Sudeste,RJ,São João de Meriti,2.0,90.0,1.0,0.0,1.0,17.766000000000002
65998,Norte,AM,Manaus,1.0,45.0,1.0,0.0,2.0,19.740000000000002
65999,Sudeste,RJ,Niterói,1.0,45.0,1.0,0.0,1.0,17.766000000000002
66000,Sudeste,RJ,Niterói,1.0,45.0,1.0,343.75,0.0,0.0
66001,Sudeste,RJ,Niterói,1.0,45.0,2.0,1375.0,3.0,6.072000000000001
66002,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,26.25,2.0,135.36
66005,Sudeste,RJ,Niterói,2.0,90.0,1.0,44.0,2.0,1.29
66006,Sudeste,RJ,Niterói,1.0,45.0,1.0,209.25000000000003,5.0,12.807500000000001
66007,Sudeste,RJ,Niterói,1.0,45.0,1.0,255.75,0.0,0.0
66008,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,124.00000000000001,1.0,0.4515
66009,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,128.0,1.0,35.532000000000004
66010,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,41.25,0.0,0.0
66011,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,10.0,0.0,0.0
66012,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,20.0,1.0,35.532000000000004
66013,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,13.75,1.0,17.766000000000002
66014,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,20.0,1.0,35.532000000000004
66015,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,20.625,3.0,53.298
66016,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,0.0,1.0,35.532000000000004
66017,Centro-Oeste,GO,Anápolis,1.0,45.0,3.0,41.25,2.0,11.844000000000001
66018,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,20.0,0.0,0.0
66019,Sudeste,RJ,Niterói,1.0,45.0,1.0,40.0,4.0,9.156
66020,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,39.375,3.0,35.532000000000004
66021,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,162.0,2.0,19.740000000000002
66022,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,78.75,1.0,5.922000000000001
66023,Sudeste,MG,Teófilo Otoni,1.0,45.0,1.0,0.0,1.0,1.49695
66024,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,6.875,0.0,0.0
66025,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,20.625,1.0,35.532000000000004
66026,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,13.75,1.0,35.532000000000004
66027,Centro-Oeste,GO,Anápolis,1.0,45.0,1.0,27.5,1.0,35.532000000000004
66028,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,68.75,1.0,35.532000000000004
66029,Centro-Oeste,GO,Anápolis,1.0,45.0,3.0,59.0625,4.0,71.06400000000001
66030,Centro-Oeste,GO,Anápolis,2.0,90.0,1.0,110.0,1.0,9.870000000000001
66031,Centro-Oeste,GO,Anápolis,1.0,45.0,2.0,126.0,2.0,71.06400000000001
