ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
52641,Norte,RR,Boa Vista,1.0,45.0,45.0
52642,Norte,RR,Boa Vista,1.0,45.0,45.0
52643,Norte,RR,Boa Vista,1.0,45.0,45.0
52647,Norte,RR,Boa Vista,1.0,45.0,45.0
52649,Norte,RR,Boa Vista,1.0,45.0,45.0
52651,Norte,RR,Boa Vista,1.0,45.0,45.0
52652,Norte,RR,Boa Vista,1.0,45.0,45.0
52654,Norte,RR,Boa Vista,1.0,45.0,45.0
52655,Norte,RR,Boa Vista,1.0,45.0,45.0
52656,Norte,RR,Boa Vista,1.0,45.0,45.0
52657,Norte,RR,Boa Vista,1.0,45.0,45.0
52658,Norte,RR,Boa Vista,1.0,45.0,45.0
52659,Norte,RR,Boa Vista,1.0,45.0,45.0
52660,Norte,RR,Boa Vista,2.0,90.0,90.0
52661,Norte,RR,Boa Vista,1.0,45.0,45.0
52663,Norte,RR,Boa Vista,1.0,45.0,45.0
52666,Norte,RR,Boa Vista,1.0,45.0,45.0
52669,Norte,RR,Boa Vista,1.0,45.0,45.0
52670,Norte,RR,Boa Vista,1.0,45.0,45.0
52672,Norte,RR,Boa Vista,1.0,45.0,45.0
52673,Norte,RR,Boa Vista,1.0,45.0,45.0
52674,Norte,RR,Boa Vista,3.0,135.0,135.0
52675,Norte,RR,Boa Vista,1.0,45.0,45.0
52676,Norte,RR,Boa Vista,1.0,45.0,45.0
52682,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52683,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52684,Nordeste,CE,Fortaleza,2.0,90.0,90.0
52685,Norte,RR,Boa Vista,1.0,45.0,45.0
52687,Norte,RR,Boa Vista,1.0,45.0,45.0
52689,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52690,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52692,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52693,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52694,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52696,Norte,RR,Boa Vista,1.0,45.0,45.0
52697,Norte,RR,Boa Vista,1.0,45.0,45.0
52699,Norte,RR,Boa Vista,1.0,45.0,45.0
52700,Norte,RR,Boa Vista,1.0,45.0,45.0
52701,Norte,RR,Boa Vista,1.0,45.0,45.0
52702,Norte,RR,Boa Vista,1.0,45.0,45.0
52703,Norte,RR,Boa Vista,1.0,45.0,45.0
52705,Norte,RR,Boa Vista,1.0,45.0,45.0
52706,Norte,RR,Boa Vista,1.0,45.0,45.0
52708,Norte,RR,Boa Vista,1.0,45.0,45.0
52710,Norte,RR,Boa Vista,2.0,90.0,90.0
52711,Norte,RR,Boa Vista,2.0,90.0,90.0
52712,Norte,RR,Boa Vista,1.0,45.0,45.0
52714,Norte,RR,Boa Vista,2.0,90.0,90.0
52715,Norte,RR,Boa Vista,1.0,45.0,45.0
52716,Norte,RR,Boa Vista,1.0,45.0,45.0
52717,Norte,RR,Boa Vista,1.0,45.0,45.0
52718,Norte,RR,Boa Vista,1.0,45.0,45.0
52719,Norte,RR,Boa Vista,1.0,45.0,45.0
52720,Norte,RR,Boa Vista,1.0,45.0,45.0
52721,Norte,RR,Boa Vista,1.0,45.0,45.0
52722,Norte,RR,Boa Vista,1.0,45.0,45.0
52723,Norte,RR,Boa Vista,1.0,45.0,45.0
52724,Norte,RR,Boa Vista,1.0,45.0,45.0
52725,Norte,RR,Boa Vista,2.0,90.0,90.0
52728,Norte,RR,Boa Vista,1.0,45.0,45.0
52729,Norte,RR,Boa Vista,2.0,90.0,90.0
52731,Norte,RR,Boa Vista,1.0,45.0,45.0
52732,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52733,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52734,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52736,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52737,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52738,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52739,Norte,RR,Boa Vista,1.0,45.0,45.0
52740,Norte,RR,Boa Vista,1.0,45.0,45.0
52743,Norte,RR,Boa Vista,1.0,45.0,45.0
52744,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52745,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52747,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52748,Norte,RR,Boa Vista,1.0,45.0,45.0
52749,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52750,Nordeste,CE,Fortaleza,1.0,45.0,45.0
52751,Norte,RR,Boa Vista,1.0,45.0,45.0
52753,Norte,RR,Boa Vista,1.0,45.0,45.0
52754,Norte,RR,Boa Vista,1.0,45.0,45.0
52755,Norte,RR,Boa Vista,2.0,90.0,90.0
52756,Norte,RR,Boa Vista,1.0,45.0,45.0
52757,Norte,RR,Boa Vista,0.0,0.0,0.0
52758,Norte,RR,Boa Vista,1.0,45.0,45.0
52759,Norte,RR,Boa Vista,1.0,45.0,45.0
52760,Norte,RR,Boa Vista,1.0,45.0,45.0
52761,Norte,RR,Boa Vista,2.0,90.0,90.0
52762,Norte,RR,Boa Vista,1.0,45.0,45.0
52763,Norte,RR,Boa Vista,1.0,45.0,45.0
52764,Norte,RR,Boa Vista,1.0,45.0,45.0
52765,Norte,RR,Boa Vista,1.0,45.0,45.0
52766,Norte,RR,Boa Vista,1.0,45.0,45.0
52767,Norte,RR,Boa Vista,1.0,45.0,45.0
52768,Norte,RR,Boa Vista,1.0,45.0,45.0
52769,Norte,RR,Boa Vista,1.0,45.0,45.0
52770,Norte,RR,Boa Vista,1.0,45.0,45.0
52771,Norte,RR,Boa Vista,2.0,90.0,90.0
52772,Norte,RR,Boa Vista,1.0,45.0,45.0
52773,Norte,RR,Boa Vista,1.0,45.0,45.0
52774,Norte,RR,Boa Vista,1.0,45.0,45.0
52775,Norte,RR,Boa Vista,1.0,45.0,45.0
52776,Norte,RR,Boa Vista,1.0,45.0,45.0
52777,Norte,RR,Boa Vista,1.0,45.0,45.0
52778,Norte,RR,Boa Vista,1.0,45.0,45.0
52780,Norte,RR,Boa Vista,1.0,45.0,45.0
52782,Norte,RR,Boa Vista,2.0,90.0,90.0
52783,Norte,RR,Boa Vista,0.0,0.0,0.0
52786,Norte,RR,Boa Vista,1.0,45.0,45.0
52787,Norte,RR,Boa Vista,1.0,45.0,45.0
52788,Norte,RR,Boa Vista,1.0,45.0,45.0
52789,Norte,RR,Boa Vista,1.0,45.0,45.0
52790,Norte,RR,Boa Vista,1.0,45.0,45.0
52791,Norte,RR,Boa Vista,1.0,45.0,45.0
52792,Norte,RR,Boa Vista,1.0,45.0,45.0
52793,Norte,RR,Boa Vista,1.0,45.0,45.0
52795,Norte,RR,Boa Vista,1.0,45.0,45.0
52796,Norte,RR,Boa Vista,1.0,45.0,45.0
52798,Norte,RR,Boa Vista,1.0,45.0,45.0
52799,Norte,RR,Boa Vista,1.0,45.0,45.0
52800,Norte,RR,Boa Vista,1.0,45.0,45.0
52801,Norte,RR,Boa Vista,1.0,45.0,45.0
52803,Norte,RR,Boa Vista,1.0,45.0,45.0
52804,Norte,RR,Boa Vista,1.0,45.0,45.0
52806,Norte,RR,Boa Vista,2.0,90.0,90.0
52807,Norte,RR,Boa Vista,1.0,45.0,45.0
52808,Norte,RR,Boa Vista,1.0,45.0,45.0
52809,Norte,RR,Boa Vista,1.0,45.0,45.0
52811,Norte,RR,Boa Vista,1.0,45.0,45.0
52812,Norte,RR,Boa Vista,1.0,45.0,45.0
52814,Norte,RR,Boa Vista,1.0,45.0,45.0
52815,Norte,RR,Boa Vista,1.0,45.0,45.0
52816,Norte,RR,Boa Vista,1.0,45.0,45.0
52817,Norte,RR,Boa Vista,2.0,90.0,90.0
52818,Norte,RR,Boa Vista,1.0,45.0,45.0
52819,Norte,RR,Boa Vista,1.0,45.0,45.0
52820,Norte,RR,Boa Vista,1.0,45.0,45.0
52821,Norte,RR,Boa Vista,1.0,45.0,45.0
52822,Norte,RR,Boa Vista,1.0,45.0,45.0
52823,Norte,RR,Boa Vista,1.0,45.0,45.0
52824,Norte,RR,Boa Vista,2.0,90.0,90.0
52825,Norte,RR,Boa Vista,1.0,45.0,45.0
52826,Norte,RR,Boa Vista,1.0,45.0,45.0
52827,Norte,RR,Boa Vista,1.0,45.0,45.0
52828,Norte,RR,Boa Vista,1.0,45.0,45.0
52829,Norte,RR,Boa Vista,1.0,45.0,45.0
52830,Norte,RR,Boa Vista,1.0,45.0,45.0
52831,Norte,RR,Boa Vista,1.0,45.0,45.0
52832,Norte,RR,Boa Vista,1.0,45.0,45.0
52833,Norte,RR,Boa Vista,1.0,45.0,45.0
52834,Norte,RR,Boa Vista,1.0,45.0,45.0
52835,Norte,RR,Boa Vista,1.0,45.0,45.0
52836,Norte,RR,Boa Vista,1.0,45.0,45.0
52837,Norte,RR,Boa Vista,1.0,45.0,45.0
52838,Norte,RR,Boa Vista,1.0,45.0,45.0
52839,Norte,RR,Boa Vista,1.0,45.0,45.0
52840,Norte,RR,Boa Vista,1.0,45.0,45.0
52841,Norte,RR,Boa Vista,1.0,45.0,45.0
52842,Norte,RR,Boa Vista,0.0,0.0,0.0
52843,Norte,RR,Boa Vista,1.0,45.0,45.0
52844,Norte,RR,Boa Vista,1.0,45.0,45.0
52845,Norte,RR,Boa Vista,1.0,45.0,45.0
52846,Norte,RR,Boa Vista,1.0,45.0,45.0
52847,Norte,RR,Boa Vista,1.0,45.0,45.0
52849,Norte,RR,Boa Vista,1.0,45.0,45.0
52850,Norte,RR,Boa Vista,2.0,90.0,90.0
52851,Norte,RR,Boa Vista,1.0,45.0,45.0
52852,Norte,RR,Boa Vista,0.0,0.0,0.0
52853,Norte,RR,Boa Vista,1.0,45.0,45.0
52854,Norte,RR,Boa Vista,1.0,45.0,45.0
52855,Norte,RR,Boa Vista,1.0,45.0,45.0
52856,Norte,RR,Boa Vista,1.0,45.0,45.0
52857,Norte,RR,Boa Vista,1.0,45.0,45.0
52858,Norte,RR,Boa Vista,1.0,45.0,45.0
52861,Norte,RR,Boa Vista,1.0,45.0,45.0
52862,Norte,RR,Boa Vista,1.0,45.0,45.0
52863,Norte,RR,Boa Vista,1.0,45.0,45.0
52864,Norte,RR,Boa Vista,1.0,45.0,45.0
52865,Norte,RR,Boa Vista,1.0,45.0,45.0
52866,Norte,RR,Boa Vista,1.0,45.0,45.0
52867,Norte,RR,Boa Vista,1.0,45.0,45.0
52868,Norte,RR,Boa Vista,1.0,45.0,45.0
52870,Norte,RR,Boa Vista,1.0,45.0,45.0
52872,Norte,RR,Boa Vista,1.0,45.0,45.0
52873,Norte,RR,Boa Vista,1.0,45.0,45.0
52874,Norte,RR,Boa Vista,1.0,45.0,45.0
52875,Norte,RR,Boa Vista,1.0,45.0,45.0
52876,Norte,RR,Boa Vista,1.0,45.0,45.0
52878,Norte,RR,Boa Vista,1.0,45.0,45.0
52879,Norte,RR,Boa Vista,1.0,45.0,45.0
52880,Norte,RR,Boa Vista,1.0,45.0,45.0
52881,Norte,RR,Boa Vista,1.0,45.0,45.0
52882,Norte,RR,Boa Vista,1.0,45.0,45.0
52883,Norte,RR,Boa Vista,1.0,45.0,45.0
52884,Norte,RR,Boa Vista,1.0,45.0,45.0
52885,Norte,RR,Boa Vista,1.0,45.0,45.0
52886,Norte,RR,Boa Vista,1.0,45.0,45.0
52887,Norte,RR,Boa Vista,1.0,45.0,45.0
52888,Norte,RR,Boa Vista,1.0,45.0,45.0
52889,Norte,RR,Boa Vista,1.0,45.0,45.0
52890,Norte,RR,Boa Vista,1.0,45.0,45.0
52892,Norte,RR,Boa Vista,1.0,45.0,45.0
52893,Norte,RR,Boa Vista,1.0,45.0,45.0
52894,Norte,RR,Boa Vista,1.0,45.0,45.0
52895,Norte,RR,Boa Vista,5.0,225.0,225.0
52896,Norte,RR,Boa Vista,1.0,45.0,45.0
52898,Norte,RR,Boa Vista,1.0,45.0,45.0
52899,Norte,RR,Boa Vista,1.0,45.0,45.0
52900,Norte,RR,Boa Vista,1.0,45.0,45.0
52901,Norte,RR,Boa Vista,1.0,45.0,45.0
52902,Norte,RR,Boa Vista,1.0,45.0,45.0
52903,Norte,RR,Boa Vista,1.0,45.0,45.0
52905,Norte,RR,Boa Vista,1.0,45.0,45.0
52906,Norte,RR,Boa Vista,1.0,45.0,45.0
52907,Norte,RR,Boa Vista,1.0,45.0,45.0
52909,Norte,RR,Boa Vista,1.0,45.0,45.0
52910,Norte,RR,Boa Vista,1.0,45.0,45.0
52913,Norte,RR,Boa Vista,1.0,45.0,45.0
52915,Norte,RR,Boa Vista,2.0,90.0,90.0
52918,Norte,RR,Boa Vista,1.0,45.0,45.0
52919,Norte,RR,Boa Vista,1.0,45.0,45.0
52921,Norte,RR,Boa Vista,1.0,45.0,45.0
52922,Norte,RR,Boa Vista,1.0,45.0,45.0
52923,Norte,RR,Boa Vista,1.0,45.0,45.0
52924,Norte,RR,Boa Vista,1.0,45.0,45.0
52925,Norte,RR,Boa Vista,1.0,45.0,45.0
52926,Norte,RR,Boa Vista,1.0,45.0,45.0
52927,Norte,RR,Boa Vista,1.0,45.0,45.0
52928,Norte,RR,Boa Vista,0.0,0.0,0.0
52929,Norte,RR,Boa Vista,0.0,0.0,0.0
52930,Norte,RR,Boa Vista,1.0,45.0,45.0
52931,Norte,RR,Boa Vista,1.0,45.0,45.0
52932,Norte,RR,Boa Vista,1.0,45.0,45.0
52933,Norte,RR,Boa Vista,1.0,45.0,45.0
52934,Norte,RR,Boa Vista,1.0,45.0,45.0
52936,Norte,RR,Boa Vista,1.0,45.0,45.0
52937,Norte,RR,Boa Vista,1.0,45.0,45.0
52938,Norte,RR,Boa Vista,1.0,45.0,45.0
52939,Norte,RR,Boa Vista,1.0,45.0,45.0
52940,Norte,RR,Boa Vista,1.0,45.0,45.0
52941,Norte,RR,Boa Vista,1.0,45.0,45.0
52942,Norte,RR,Boa Vista,1.0,45.0,45.0
52943,Norte,RR,Boa Vista,1.0,45.0,45.0
52944,Norte,RR,Boa Vista,1.0,45.0,45.0
52945,Norte,RR,Boa Vista,0.0,0.0,0.0
52948,Norte,RR,Boa Vista,2.0,90.0,90.0
52949,Norte,RR,Boa Vista,1.0,45.0,45.0
52950,Norte,RR,Boa Vista,1.0,45.0,45.0
52951,Norte,RR,Boa Vista,1.0,45.0,45.0
52952,Norte,RR,Boa Vista,1.0,45.0,45.0
52953,Norte,RR,Boa Vista,1.0,45.0,45.0
52954,Norte,RR,Boa Vista,1.0,45.0,45.0
52955,Norte,RR,Boa Vista,1.0,45.0,45.0
52956,Norte,RR,Boa Vista,1.0,45.0,45.0
52957,Norte,RR,Boa Vista,1.0,45.0,45.0
52958,Norte,RR,Boa Vista,1.0,45.0,45.0
52959,Norte,RR,Boa Vista,1.0,45.0,45.0
52960,Norte,RR,Boa Vista,2.0,90.0,90.0
52961,Norte,RR,Boa Vista,1.0,45.0,45.0
52962,Norte,RR,Boa Vista,1.0,45.0,45.0
52964,Norte,RR,Boa Vista,1.0,45.0,45.0
52965,Norte,RR,Boa Vista,1.0,45.0,45.0
52966,Norte,RR,Boa Vista,1.0,45.0,45.0
52967,Norte,RR,Boa Vista,1.0,45.0,45.0
52968,Norte,RR,Boa Vista,1.0,45.0,45.0
52971,Norte,RR,Boa Vista,1.0,45.0,45.0
52972,Norte,RR,Boa Vista,1.0,45.0,45.0
52973,Norte,RR,Boa Vista,1.0,45.0,45.0
52974,Norte,RR,Boa Vista,1.0,45.0,45.0
52975,Norte,RR,Boa Vista,1.0,45.0,45.0
52976,Norte,RR,Boa Vista,1.0,45.0,45.0
52977,Norte,RR,Boa Vista,1.0,45.0,45.0
52978,Norte,RR,Boa Vista,1.0,45.0,45.0
52979,Norte,RR,Boa Vista,1.0,45.0,45.0
52980,Norte,RR,Boa Vista,1.0,45.0,45.0
52982,Norte,RR,Boa Vista,1.0,45.0,45.0
52983,Norte,RR,Boa Vista,1.0,45.0,45.0
52984,Norte,RR,Boa Vista,1.0,45.0,45.0
52985,Norte,RR,Boa Vista,0.0,0.0,0.0
52986,Norte,RR,Boa Vista,1.0,45.0,45.0
52987,Norte,RR,Boa Vista,1.0,45.0,45.0
52988,Norte,RR,Boa Vista,1.0,45.0,45.0
52989,Norte,RR,Boa Vista,1.0,45.0,45.0
52990,Norte,RR,Boa Vista,1.0,45.0,45.0
52991,Norte,RR,Boa Vista,0.0,0.0,0.0
52992,Norte,RR,Boa Vista,1.0,45.0,45.0
52993,Norte,RR,Boa Vista,1.0,45.0,45.0
52994,Norte,RR,Boa Vista,2.0,90.0,90.0
52995,Norte,RR,Boa Vista,1.0,45.0,45.0
52996,Norte,RR,Boa Vista,1.0,45.0,45.0
52997,Norte,RR,Boa Vista,1.0,45.0,45.0
52999,Norte,RR,Boa Vista,1.0,45.0,45.0
53000,Norte,RR,Boa Vista,1.0,45.0,45.0
53001,Norte,RR,Boa Vista,1.0,45.0,45.0
53002,Norte,RR,Boa Vista,1.0,45.0,45.0
53003,Norte,RR,Boa Vista,1.0,45.0,45.0
53004,Norte,RR,Boa Vista,1.0,45.0,45.0
53005,Norte,RR,Boa Vista,1.0,45.0,45.0
53007,Norte,RR,Boa Vista,1.0,45.0,45.0
53008,Norte,RR,Boa Vista,1.0,45.0,45.0
53009,Norte,RR,Boa Vista,2.0,90.0,90.0
53010,Norte,RR,Boa Vista,1.0,45.0,45.0
53011,Norte,RR,Boa Vista,1.0,45.0,45.0
53012,Norte,RR,Boa Vista,1.0,45.0,45.0
53013,Norte,RR,Boa Vista,1.0,45.0,45.0
53014,Norte,RR,Boa Vista,1.0,45.0,45.0
53015,Norte,RR,Boa Vista,1.0,45.0,45.0
53016,Norte,RR,Boa Vista,1.0,45.0,45.0
53017,Norte,RR,Boa Vista,1.0,45.0,45.0
53018,Norte,RR,Boa Vista,1.0,45.0,45.0
53019,Norte,RR,Boa Vista,1.0,45.0,45.0
53020,Norte,RR,Boa Vista,1.0,45.0,45.0
53022,Norte,RR,Boa Vista,1.0,45.0,45.0
53023,Norte,RR,Boa Vista,1.0,45.0,45.0
53024,Norte,RR,Boa Vista,1.0,45.0,45.0
53025,Norte,RR,Boa Vista,0.0,0.0,0.0
53026,Norte,RR,Boa Vista,1.0,45.0,45.0
53027,Norte,RR,Boa Vista,1.0,45.0,45.0
53028,Norte,RR,Boa Vista,1.0,45.0,45.0
53030,Norte,RR,Boa Vista,2.0,90.0,90.0
53031,Norte,RR,Boa Vista,1.0,45.0,45.0
53032,Norte,RR,Boa Vista,1.0,45.0,45.0
53033,Norte,RR,Boa Vista,1.0,45.0,45.0
53034,Norte,RR,Boa Vista,1.0,45.0,45.0
53035,Norte,RR,Boa Vista,1.0,45.0,45.0
53036,Norte,RR,Boa Vista,1.0,45.0,45.0
53037,Norte,RR,Boa Vista,1.0,45.0,45.0
53038,Norte,RR,Boa Vista,1.0,45.0,45.0
53039,Norte,RR,Boa Vista,1.0,45.0,45.0
53040,Norte,RR,Boa Vista,1.0,45.0,45.0
53041,Norte,RR,Boa Vista,1.0,45.0,45.0
53042,Norte,RR,Boa Vista,1.0,45.0,45.0
53043,Norte,RR,Boa Vista,1.0,45.0,45.0
53044,Norte,RR,Boa Vista,1.0,45.0,45.0
53045,Norte,RR,Boa Vista,2.0,90.0,90.0
53046,Norte,RR,Boa Vista,1.0,45.0,45.0
53047,Norte,RR,Boa Vista,4.0,180.0,180.0
53048,Norte,RR,Boa Vista,1.0,45.0,45.0
53049,Norte,RR,Boa Vista,1.0,45.0,45.0
53052,Norte,RR,Boa Vista,1.0,45.0,45.0
53054,Norte,RR,Boa Vista,1.0,45.0,45.0
53056,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53059,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53061,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53063,Norte,RR,Boa Vista,1.0,45.0,45.0
53064,Norte,RR,Boa Vista,1.0,45.0,45.0
53065,Norte,RR,Boa Vista,1.0,45.0,45.0
53066,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53067,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53068,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53069,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53070,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53071,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53072,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53073,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53074,Norte,RR,Boa Vista,2.0,90.0,90.0
53075,Norte,RR,Boa Vista,1.0,45.0,45.0
53076,Norte,RR,Boa Vista,1.0,45.0,45.0
53078,Norte,RR,Boa Vista,1.0,45.0,45.0
53079,Norte,RR,Boa Vista,1.0,45.0,45.0
53080,Norte,RR,Boa Vista,1.0,45.0,45.0
53081,Norte,RR,Boa Vista,2.0,90.0,90.0
53082,Norte,RR,Boa Vista,1.0,45.0,45.0
53083,Norte,RR,Boa Vista,1.0,45.0,45.0
53084,Norte,RR,Boa Vista,1.0,45.0,45.0
53085,Norte,RR,Boa Vista,1.0,45.0,45.0
53086,Norte,RR,Boa Vista,1.0,45.0,45.0
53087,Norte,RR,Boa Vista,1.0,45.0,45.0
53088,Norte,RR,Boa Vista,1.0,45.0,45.0
53090,Norte,RR,Boa Vista,1.0,45.0,45.0
53092,Norte,RR,Boa Vista,1.0,45.0,45.0
53094,Norte,RR,Boa Vista,1.0,45.0,45.0
53095,Norte,RR,Boa Vista,1.0,45.0,45.0
53097,Norte,RR,Boa Vista,1.0,45.0,45.0
53098,Norte,RR,Boa Vista,1.0,45.0,45.0
53099,Norte,RR,Boa Vista,1.0,45.0,45.0
53100,Norte,RR,Boa Vista,1.0,45.0,45.0
53101,Norte,RR,Boa Vista,2.0,90.0,90.0
53102,Norte,RR,Boa Vista,1.0,45.0,45.0
53104,Norte,RR,Boa Vista,1.0,45.0,45.0
53105,Norte,RR,Boa Vista,1.0,45.0,45.0
53106,Norte,RR,Boa Vista,0.0,0.0,0.0
53107,Norte,RR,Boa Vista,1.0,45.0,45.0
53108,Norte,RR,Boa Vista,1.0,45.0,45.0
53109,Norte,RR,Boa Vista,2.0,90.0,90.0
53110,Norte,RR,Boa Vista,1.0,45.0,45.0
53111,Norte,RR,Boa Vista,1.0,45.0,45.0
53113,Norte,RR,Boa Vista,1.0,45.0,45.0
53114,Norte,RR,Boa Vista,1.0,45.0,45.0
53115,Norte,RR,Boa Vista,1.0,45.0,45.0
53116,Norte,RR,Boa Vista,2.0,90.0,90.0
53118,Norte,RR,Boa Vista,1.0,45.0,45.0
53119,Norte,RR,Boa Vista,2.0,90.0,90.0
53120,Norte,RR,Boa Vista,0.0,0.0,0.0
53122,Norte,RR,Boa Vista,3.0,135.0,135.0
53123,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53124,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53125,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53126,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53127,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53128,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53129,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53130,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53131,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53132,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53133,Norte,RR,Boa Vista,1.0,45.0,45.0
53134,Norte,RR,Boa Vista,2.0,90.0,90.0
53135,Norte,RR,Boa Vista,1.0,45.0,45.0
53136,Norte,RR,Boa Vista,1.0,45.0,45.0
53137,Norte,RR,Boa Vista,1.0,45.0,45.0
53138,Norte,RR,Boa Vista,2.0,90.0,90.0
53139,Norte,RR,Boa Vista,2.0,90.0,90.0
53140,Norte,RR,Boa Vista,1.0,45.0,45.0
53143,Norte,RR,Boa Vista,1.0,45.0,45.0
53144,Norte,RR,Boa Vista,1.0,45.0,45.0
53145,Norte,RR,Boa Vista,1.0,45.0,45.0
53146,Norte,RR,Boa Vista,1.0,45.0,45.0
53147,Norte,RR,Boa Vista,1.0,45.0,45.0
53150,Norte,RR,Boa Vista,1.0,45.0,45.0
53152,Norte,RR,Boa Vista,1.0,45.0,45.0
53153,Norte,RR,Boa Vista,1.0,45.0,45.0
53155,Norte,RR,Boa Vista,1.0,45.0,45.0
53158,Norte,RR,Boa Vista,1.0,45.0,45.0
53159,Norte,RR,Boa Vista,1.0,45.0,45.0
53160,Norte,RR,Boa Vista,1.0,45.0,45.0
53161,Norte,RR,Boa Vista,1.0,45.0,45.0
53162,Norte,RR,Boa Vista,1.0,45.0,45.0
53164,Norte,RR,Boa Vista,1.0,45.0,45.0
53165,Norte,RR,Boa Vista,1.0,45.0,45.0
53166,Norte,RR,Boa Vista,1.0,45.0,45.0
53167,Norte,RR,Boa Vista,3.0,135.0,135.0
53168,Norte,RR,Boa Vista,1.0,45.0,45.0
53169,Norte,RR,Boa Vista,1.0,45.0,45.0
53170,Norte,RR,Boa Vista,1.0,45.0,45.0
53171,Norte,RR,Boa Vista,1.0,45.0,45.0
53172,Norte,RR,Boa Vista,1.0,45.0,45.0
53173,Norte,RR,Boa Vista,1.0,45.0,45.0
53174,Norte,RR,Boa Vista,1.0,45.0,45.0
53176,Norte,RR,Boa Vista,2.0,90.0,90.0
53177,Norte,RR,Boa Vista,1.0,45.0,45.0
53178,Norte,RR,Boa Vista,1.0,45.0,45.0
53180,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53181,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53183,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53184,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53185,Norte,RR,Boa Vista,0.0,0.0,0.0
53186,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53187,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53190,Nordeste,CE,Fortaleza,1.0,45.0,45.0
53192,Norte,RR,Boa Vista,1.0,45.0,45.0
53193,Norte,RR,Boa Vista,1.0,45.0,45.0
53194,Norte,RR,Boa Vista,1.0,45.0,45.0
53195,Norte,RR,Boa Vista,1.0,45.0,45.0
53196,Norte,RR,Boa Vista,1.0,45.0,45.0
53197,Norte,RR,Boa Vista,1.0,45.0,45.0
53198,Norte,RR,Boa Vista,1.0,45.0,45.0
53199,Norte,RR,Boa Vista,1.0,45.0,45.0
53200,Norte,RR,Boa Vista,1.0,45.0,45.0
53201,Norte,RR,Boa Vista,1.0,45.0,45.0
53203,Norte,RR,Boa Vista,1.0,45.0,45.0
53206,Norte,RR,Boa Vista,1.0,45.0,45.0
53208,Norte,RR,Boa Vista,1.0,45.0,45.0
53209,Norte,RR,Boa Vista,1.0,45.0,45.0
53211,Norte,RR,Boa Vista,1.0,45.0,45.0
53214,Norte,RR,Boa Vista,2.0,90.0,90.0
53215,Norte,RR,Boa Vista,2.0,90.0,90.0
53217,Norte,RR,Boa Vista,1.0,45.0,45.0
53218,Norte,RR,Boa Vista,1.0,45.0,45.0
53219,Norte,RR,Boa Vista,1.0,45.0,45.0
53220,Norte,RR,Boa Vista,1.0,45.0,45.0
53221,Norte,RR,Boa Vista,1.0,45.0,45.0
53222,Norte,RR,Boa Vista,1.0,45.0,45.0
53223,Norte,RR,Boa Vista,1.0,45.0,45.0
53224,Norte,RR,Boa Vista,1.0,45.0,45.0
53225,Norte,RR,Boa Vista,1.0,45.0,45.0
53228,Norte,RR,Boa Vista,1.0,45.0,45.0
53229,Norte,RR,Boa Vista,1.0,45.0,45.0
53231,Norte,RR,Boa Vista,1.0,45.0,45.0
