ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,kwh_categoria_refrigeracao
73330,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73331,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73332,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73333,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73334,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73335,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73336,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73337,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73338,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73339,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73340,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73341,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73342,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73343,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73344,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73345,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73346,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73347,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73348,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73349,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73350,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73351,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73352,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73353,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73354,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73355,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73356,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73357,Sudeste,RJ,Volta Redonda,1.0,45.0,45.0
73358,Sul,RS,Caxias do Sul,1.0,45.0,45.0
73359,Sul,RS,Passo Fundo,1.0,45.0,45.0
73360,Sul,RS,Passo Fundo,1.0,45.0,45.0
73361,Sul,RS,Passo Fundo,1.0,45.0,45.0
73362,Sul,RS,Passo Fundo,1.0,45.0,45.0
73363,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73364,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73365,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73366,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73367,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73368,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73369,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73370,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73371,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73372,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73373,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73374,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73375,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73376,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73377,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73378,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73379,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73380,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73381,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73382,Sudeste,RJ,Rio de Janeiro,1.0,45.0,45.0
73383,Sul,RS,Passo Fundo,1.0,45.0,45.0
73384,Sul,RS,Passo Fundo,1.0,45.0,45.0
73385,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73386,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73387,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73388,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73389,Sul,RS,Passo Fundo,1.0,45.0,45.0
73390,Sul,RS,Passo Fundo,1.0,45.0,45.0
73391,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73392,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73393,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73394,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73395,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73396,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73397,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73398,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73399,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73400,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73401,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73402,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73403,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73404,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73405,Sul,RS,Passo Fundo,1.0,45.0,45.0
73406,Sul,RS,Passo Fundo,1.0,45.0,45.0
73407,Sul,RS,Passo Fundo,1.0,45.0,45.0
73408,Sul,RS,Passo Fundo,1.0,45.0,45.0
73409,Sul,RS,Passo Fundo,1.0,45.0,45.0
73410,Sul,RS,Passo Fundo,1.0,45.0,45.0
73411,Sul,RS,Passo Fundo,1.0,45.0,45.0
73412,Sul,RS,Passo Fundo,1.0,45.0,45.0
73413,Sul,RS,Passo Fundo,1.0,45.0,45.0
73414,Sul,RS,Passo Fundo,1.0,45.0,45.0
73415,Sul,RS,Passo Fundo,1.0,45.0,45.0
73416,Sul,RS,Passo Fundo,1.0,45.0,45.0
73417,Sul,RS,Passo Fundo,1.0,45.0,45.0
73418,Sul,RS,Passo Fundo,1.0,45.0,45.0
73419,Sul,RS,Passo Fundo,1.0,45.0,45.0
73420,Sul,RS,Passo Fundo,1.0,45.0,45.0
73421,Sul,RS,Passo Fundo,1.0,45.0,45.0
73422,Sul,RS,Passo Fundo,1.0,45.0,45.0
73423,Sul,RS,Passo Fundo,1.0,45.0,45.0
73424,Sul,RS,Passo Fundo,1.0,45.0,45.0
73425,Sul,RS,Passo Fundo,1.0,45.0,45.0
73426,Sul,RS,Passo Fundo,1.0,45.0,45.0
73427,Sul,RS,Passo Fundo,1.0,45.0,45.0
73428,Sul,RS,Passo Fundo,1.0,45.0,45.0
73429,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73430,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73431,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73432,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73433,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73434,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73435,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73436,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73437,Centro-Oeste,MS,Três Lagoas,1.0,45.0,45.0
73438,Sul,RS,Passo Fundo,1.0,45.0,45.0
73439,Sul,RS,Passo Fundo,1.0,45.0,45.0
73440,Sul,RS,Passo Fundo,1.0,45.0,45.0
73441,Sul,RS,Passo Fundo,1.0,45.0,45.0
73442,Sul,RS,Passo Fundo,1.0,45.0,45.0
73443,Sul,RS,Passo Fundo,1.0,45.0,45.0
73444,Sul,RS,Passo Fundo,1.0,45.0,45.0
73445,Sul,RS,Passo Fundo,1.0,45.0,45.0
73446,Sul,RS,Passo Fundo,1.0,45.0,45.0
73447,Sul,RS,Passo Fundo,1.0,45.0,45.0
73448,Sul,RS,Passo Fundo,1.0,45.0,45.0
73449,Sul,RS,Passo Fundo,1.0,45.0,45.0
73450,Sul,RS,Passo Fundo,1.0,45.0,45.0
73451,Sul,RS,Passo Fundo,1.0,45.0,45.0
73452,Sul,RS,Passo Fundo,1.0,45.0,45.0
73453,Sul,RS,Passo Fundo,1.0,45.0,45.0
73454,Sul,RS,Passo Fundo,1.0,45.0,45.0
73455,Sul,RS,Passo Fundo,1.0,45.0,45.0
73456,Sul,RS,Passo Fundo,1.0,45.0,45.0
73457,Sul,RS,Passo Fundo,1.0,45.0,45.0
73458,Sul,RS,Passo Fundo,1.0,45.0,45.0
73460,Sul,SC,Chapecó,1.0,45.0,45.0
73463,Sul,SC,Chapecó,1.0,45.0,45.0
73464,Sul,SC,Chapecó,1.0,45.0,45.0
73465,Sul,SC,Chapecó,1.0,45.0,45.0
73466,Sul,SC,Chapecó,1.0,45.0,45.0
73467,Sul,SC,Chapecó,1.0,45.0,45.0
73469,Sul,SC,Chapecó,1.0,45.0,45.0
73470,Sul,SC,Chapecó,1.0,45.0,45.0
73471,Sul,SC,Chapecó,1.0,45.0,45.0
73472,Sul,RS,Passo Fundo,1.0,45.0,45.0
73473,Sul,RS,Passo Fundo,1.0,45.0,45.0
73474,Sul,RS,Passo Fundo,1.0,45.0,45.0
73475,Sul,RS,Passo Fundo,1.0,45.0,45.0
73476,Sul,RS,Passo Fundo,1.0,45.0,45.0
73477,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73478,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73479,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73481,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73482,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73483,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73485,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73486,Centro-Oeste,DF,Brasília,1.0,45.0,45.0
73487,Sul,RS,Passo Fundo,1.0,45.0,45.0
73488,Sul,RS,Passo Fundo,1.0,45.0,45.0
73489,Sul,RS,Passo Fundo,1.0,45.0,45.0
73490,Sul,RS,Passo Fundo,1.0,45.0,45.0
73491,Sul,RS,Passo Fundo,1.0,45.0,45.0
73492,Sul,RS,Passo Fundo,1.0,45.0,45.0
73493,Sul,RS,Passo Fundo,1.0,45.0,45.0
73494,Sul,RS,Passo Fundo,1.0,45.0,45.0
